Element,Direction,Pat,Major_Functional_Class,TERM
VEGF,Decrease,Pat7,Resolution,negative regulation of cell-cell adhesion mediated by cadherin
VEGF,Decrease,Pat7,Immune cell positioning,positive regulation of endothelial cell chemotaxis
RANKL,Decrease,Pat7,Resolution,negative regulation of transcription by RNA polymerase II
RANKL,Decrease,Pat7,Immune cell amplification,osteoclast proliferation
RANKL,Decrease,Pat7,Immune cell positioning,monocyte chemotaxis
RANKL,Decrease,Pat7,Bone remodeling,osteoclast differentiation
RANKL,Decrease,Pat7,Immune cell amplification,mammary gland epithelial cell proliferation
RANKL,Decrease,Pat7,Bone remodeling,osteoclast development
RANKL,Decrease,Pat7,Tissue destruction,bone resorption
RANKL,Decrease,Pat7,Bone remodeling,positive regulation of osteoclast differentiation
RANKL,Decrease,Pat7,Tissue destruction,positive regulation of bone resorption
RANKL,Decrease,Pat7,Immune cell activation,positive regulation of T cell activation
RANKL,Decrease,Pat7,Bone remodeling,positive regulation of osteoclast development
RANKL,Decrease,Pat7,Tissue destruction,positive regulation of extrinsic apoptotic signaling pathway
TRAP5,Decrease,Pat7,Immune cell activation,negative regulation of macrophage cytokine production
TRAP5,Decrease,Pat7,Resolution,negative regulation of interleukin-1 beta production
TRAP5,Decrease,Pat7,Resolution,negative regulation of interleukin-12 production
TRAP5,Decrease,Pat7,Resolution,negative regulation of tumor necrosis factor production
TRAP5,Decrease,Pat7,Resolution,negative regulation of superoxide anion generation
TRAP5,Decrease,Pat7,Resolution,negative regulation of nitric oxide biosynthetic process
TRAP5,Decrease,Pat7,Tissue destruction,bone resorption
TRAP5,Decrease,Pat7,Resolution,negative regulation of inflammatory response
OPG,Decrease,Pat7,Tissue destruction,apoptotic process
OPG,Decrease,Pat7,Resolution,negative regulation of tumor necrosis factor-mediated signaling pathway
OPG,Decrease,Pat7,Tissue construction / repair,extracellular matrix organization
OPG,Decrease,Pat7,Resolution,negative regulation of odontogenesis of dentin-containing tooth
OPG,Decrease,Pat7,Resolution,negative regulation of osteoclast differentiation
OPG,Decrease,Pat7,Resolution,negative regulation of bone resorption
IL-16,Decrease,Pat7,Immune cell positioning,leukocyte chemotaxis
IL-16,Decrease,Pat7,Immune cell positioning,induction of positive chemotaxis
IL-16,Decrease,Pat7,Immune cell activation,positive regulation of neutrophil activation
LIF,Decrease,Pat9,Immune cell amplification,positive regulation of cell population proliferation
LIF,Decrease,Pat9,Immune cell amplification,negative regulation of cell population proliferation
LIF,Decrease,Pat9,Resolution,negative regulation of meiotic nuclear division
LIF,Decrease,Pat9,Resolution,negative regulation of hormone secretion
LIF,Decrease,Pat9,Immune cell amplification,fibroblast proliferation
LIF,Decrease,Pat9,Immune cell amplification,positive regulation of fibroblast proliferation
LIF,Decrease,Pat9,Resolution,negative regulation of ERK1 and ERK2 cascade
LIF,Decrease,Pat9,Tissue construction / repair,positive regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis
LIF,Decrease,Pat9,Tissue construction / repair,regulation of metanephric nephron tubule epithelial cell differentiation
TRAIL,Increase,Pat9,Tissue destruction,apoptotic process
TRAIL,Increase,Pat9,Tissue destruction,TRAIL-activated apoptotic signaling pathway
TRAIL,Increase,Pat9,Tissue destruction,positive regulation of apoptotic process
TRAIL,Increase,Pat9,Tissue destruction,positive regulation of extrinsic apoptotic signaling pathway
MIP-1d,Decrease,Pat9,Immune cell positioning,chemotaxis
MIP-1d,Decrease,Pat9,Immune cell positioning,positive regulation of cell migration
MIP-1d,Decrease,Pat9,Immune cell positioning,positive chemotaxis
MIP-1d,Decrease,Pat9,Immune cell positioning,cell chemotaxis
EGF,Increase,Pat9,Tissue construction / repair,angiogenesis
EGF,Increase,Pat9,Immune cell amplification,positive regulation of endothelial cell proliferation
EGF,Increase,Pat9,Immune cell amplification,positive regulation of cell population proliferation
EGF,Increase,Pat9,Immune cell positioning,positive regulation of endothelial cell migration
EGF,Increase,Pat9,Immune cell amplification,cerebellar granule cell precursor proliferation
EGF,Increase,Pat9,Immune cell amplification,positive regulation of cerebellar granule cell precursor proliferation
EGF,Increase,Pat9,Immune cell positioning,positive regulation of cell migration
EGF,Increase,Pat9,Immune cell activation,regulation of receptor signaling pathway via JAK-STAT
EGF,Increase,Pat9,Tissue construction / repair,branching morphogenesis of an epithelial tube
EGF,Increase,Pat9,Immune cell amplification,epithelial cell proliferation
EGF,Increase,Pat9,Resolution,negative regulation of secretion
EGF,Increase,Pat9,Resolution,negative regulation of cholesterol efflux
EGF,Increase,Pat9,Tissue construction / repair,positive regulation of epithelial tube formation
IL-13,Increase,Pat9,Immune cell activation,microglial cell activation
IL-13,Increase,Pat9,Immune cell amplification,positive regulation of B cell proliferation
IL-13,Increase,Pat9,Immune cell activation,macrophage activation
IL-13,Increase,Pat9,Immune cell activation,positive regulation of macrophage activation
IL-13,Increase,Pat9,Immune cell amplification,positive regulation of smooth muscle cell proliferation
IL-13,Increase,Pat9,Resolution,negative regulation of inflammatory response
IL-13,Increase,Pat9,Resolution,negative regulation of transforming growth factor beta production
IL-13,Increase,Pat9,Resolution,negative regulation of lung ciliated cell differentiation
IL-13,Increase,Pat9,Resolution,negative regulation of complement-dependent cytotoxicity
IL-13,Increase,Pat9,Immune cell amplification,positive regulation of pancreatic stellate cell proliferation
IL-13,Increase,Pat9,Resolution,negative regulation of endothelial cell apoptotic process
IL-28A,Increase,Pat10Prob,Immune cell activation,mucosal immune response
IL-28A,Increase,Pat10Prob,Immune cell activation,cell surface receptor signaling pathway via JAK-STAT
IL-28A,Increase,Pat10Prob,Immune cell activation,type III interferon-mediated signaling pathway
IL-28A,Increase,Pat10Prob,Immune cell activation,innate immune response
IL-28A,Increase,Pat10Prob,Immune cell activation,positive regulation of immune response
IL-28A,Increase,Pat10Prob,Immune cell activation,defense response to virus
IL-28A,Increase,Pat10Prob,Immune cell activation,cellular response to virus
TGF-A,Increase,Pat10Prob,Tissue construction / repair,angiogenesis
TGF-A,Increase,Pat10Prob,Immune cell amplification,positive regulation of cell population proliferation
TGF-A,Increase,Pat10Prob,Immune cell amplification,positive regulation of epithelial cell proliferation
TGF-A,Increase,Pat10Prob,Immune cell amplification,hepatocyte proliferation
G-CSF,Increase,Pat10Prob,Immune cell amplification,positive regulation of cell population proliferation
IL-17A,Increase,Pat10Prob,Tissue destruction,apoptotic process
IL-17A,Increase,Pat10Prob,Tissue destruction,cell death
IL-17A,Increase,Pat10Prob,Immune cell amplification,keratinocyte proliferation
IL-17A,Increase,Pat10Prob,Immune cell activation,innate immune response
IL-17A,Increase,Pat10Prob,Bone remodeling,positive regulation of osteoclast differentiation
IL-17A,Increase,Pat10Prob,Tissue construction / repair,intestinal epithelial structure maintenance
IL-17A,Increase,Pat10Prob,Immune cell activation,fibroblast activation
IL-17A,Increase,Pat10Prob,Immune cell positioning,granulocyte migration
IL-17A,Increase,Pat10Prob,Resolution,negative regulation of inflammatory response to wounding
IL-17A,Increase,Pat10Prob,Immune cell activation,positive regulation of cytokine production involved in inflammatory response
IL-1A,Increase,Pat10Prob,Immune cell activation,cytokine production
IL-1A,Increase,Pat10Prob,Immune cell activation,positive regulation of cytokine production
IL-1A,Increase,Pat10Prob,Tissue construction / repair,connective tissue replacement involved in inflammatory response wound healing
IL-1A,Increase,Pat10Prob,Tissue destruction,apoptotic process
IL-1A,Increase,Pat10Prob,Immune cell amplification,negative regulation of cell population proliferation
IL-1A,Increase,Pat10Prob,Immune cell amplification,positive regulation of immature T cell proliferation in thymus
IL-1A,Increase,Pat10Prob,Tissue destruction,ectopic germ cell programmed cell death
IL-1A,Increase,Pat10Prob,Tissue construction / repair,positive regulation of angiogenesis
IL-1A,Increase,Pat10Prob,Tissue destruction,extrinsic apoptotic signaling pathway in absence of ligand
IL-1A,Increase,Pat10Prob,Immune cell positioning,positive regulation of neutrophil migration
IL-1A,Increase,Pat10Prob,Resolution,negative regulation of establishment of Sertoli cell barrier
IL-1A,Increase,Pat10Prob,Resolution,negative regulation of extrinsic apoptotic signaling pathway in absence of ligand
IL-1B,Increase,Pat10Prob,Immune cell activation,cytokine production
IL-1B,Increase,Pat10Prob,Tissue destruction,apoptotic process
IL-1B,Increase,Pat10Prob,Immune cell amplification,positive regulation of cell population proliferation
IL-1B,Increase,Pat10Prob,Immune cell amplification,negative regulation of cell population proliferation
IL-1B,Increase,Pat10Prob,Tissue construction / repair,positive regulation of epithelial to mesenchymal transition
IL-1B,Increase,Pat10Prob,Resolution,negative regulation of D-glucose transmembrane transport
IL-1B,Increase,Pat10Prob,Immune cell positioning,positive regulation of cell migration
IL-1B,Increase,Pat10Prob,Immune cell positioning,neutrophil chemotaxis
IL-1B,Increase,Pat10Prob,Immune cell amplification,positive regulation of immature T cell proliferation in thymus
IL-1B,Increase,Pat10Prob,Tissue destruction,ectopic germ cell programmed cell death
IL-1B,Increase,Pat10Prob,Immune cell amplification,positive regulation of T cell proliferation
IL-1B,Increase,Pat10Prob,Resolution,negative regulation of MAP kinase activity
IL-1B,Increase,Pat10Prob,Tissue construction / repair,positive regulation of angiogenesis
IL-1B,Increase,Pat10Prob,Resolution,negative regulation of lipid metabolic process
IL-1B,Increase,Pat10Prob,Immune cell activation,positive regulation of complement activation
IL-1B,Increase,Pat10Prob,Resolution,negative regulation of insulin receptor signaling pathway
IL-1B,Increase,Pat10Prob,Immune cell activation,astrocyte activation
IL-1B,Increase,Pat10Prob,Resolution,negative regulation of neurogenesis
IL-1B,Increase,Pat10Prob,Resolution,negative regulation of synaptic transmission
IL-1B,Increase,Pat10Prob,Resolution,negative regulation of lipid catabolic process
IL-1B,Increase,Pat10Prob,Immune cell amplification,positive regulation of glial cell proliferation
IL-1B,Increase,Pat10Prob,Resolution,negative regulation of adiponectin secretion
IL-1B,Increase,Pat10Prob,Tissue destruction,extrinsic apoptotic signaling pathway in absence of ligand
IL-1B,Increase,Pat10Prob,Resolution,negative regulation of gap junction assembly
IL-1B,Increase,Pat10Prob,Immune cell activation,positive regulation of T-helper 1 cell cytokine production
IL-1B,Increase,Pat10Prob,Resolution,negative regulation of extrinsic apoptotic signaling pathway in absence of ligand
VEGF,Increase,Pat10Prob,Resolution,negative regulation of transcription by RNA polymerase II
VEGF,Increase,Pat10Prob,Tissue construction / repair,angiogenesis
VEGF,Increase,Pat10Prob,Immune cell amplification,endothelial cell proliferation
VEGF,Increase,Pat10Prob,Immune cell amplification,positive regulation of endothelial cell proliferation
VEGF,Increase,Pat10Prob,Tissue construction / repair,lymphangiogenesis
VEGF,Increase,Pat10Prob,Tissue construction / repair,sprouting angiogenesis
VEGF,Increase,Pat10Prob,Immune cell positioning,cell migration involved in sprouting angiogenesis
VEGF,Increase,Pat10Prob,Immune cell amplification,positive regulation of neuroblast proliferation
VEGF,Increase,Pat10Prob,Tissue construction / repair,epithelial cell maturation
VEGF,Increase,Pat10Prob,Immune cell positioning,basophil chemotaxis
VEGF,Increase,Pat10Prob,Immune cell positioning,positive regulation of leukocyte migration
VEGF,Increase,Pat10Prob,Tissue destruction,apoptotic process
VEGF,Increase,Pat10Prob,Immune cell amplification,neuroblast proliferation
VEGF,Increase,Pat10Prob,Immune cell amplification,positive regulation of cell population proliferation
VEGF,Increase,Pat10Prob,Immune cell positioning,positive regulation of endothelial cell migration
VEGF,Increase,Pat10Prob,Resolution,negative regulation of gene expression
VEGF,Increase,Pat10Prob,Resolution,negative regulation of epithelial to mesenchymal transition
VEGF,Increase,Pat10Prob,Immune cell positioning,positive regulation of cell migration
VEGF,Increase,Pat10Prob,Tissue construction / repair,epithelial cell differentiation
VEGF,Increase,Pat10Prob,Immune cell positioning,endothelial cell chemotaxis
VEGF,Increase,Pat10Prob,Immune cell positioning,positive regulation of endothelial cell chemotaxis by VEGF-activated vascular endothelial growth factor receptor signaling pathway
VEGF,Increase,Pat10Prob,Immune cell amplification,positive regulation of cell proliferation by VEGF-activated platelet derived growth factor receptor signaling pathway
VEGF,Increase,Pat10Prob,Resolution,negative regulation of apoptotic process
VEGF,Increase,Pat10Prob,Immune cell positioning,positive regulation of blood vessel endothelial cell migration
VEGF,Increase,Pat10Prob,Resolution,negative regulation of fat cell differentiation
